range [25137,27202] : 104177726
range [46853,60733] : 695550018
range [54889,70398] : 778231863
range [21958,59083] : 857712525
range [19938,61559] : 82926682
range [59517,87635] : 410919480
range [88556,88791] : 12636364
range [86766,88542] : 87909504
range [14843,87465] : 639260546
range [7571,11855] : 214822477
range [61254,63126] : 94615097
range [78095,86031] : 399979034
range [33925,42570] : 434167104
range [48561,54940] : 321312961
range [61114,63599] : 123836298
range [37583,38131] : 27985747
range [82553,82970] : 20374297
range [34724,78045] : 171621985
range [15436,74709] : 969938788
range [968,20636] : 984674849
range [66424,79506] : 655840639
range [19489,33841] : 716742023
range [72632,76802] : 207594562
range [12104,66085] : 706362507
range [43904,78361] : 724640819
range [7751,53166] : 276421743
range [49584,66406] : 843499152
range [31255,48183] : 846959764
range [86079,86881] : 38975215
range [1930,29067] : 359907819
range [50775,82105] : 573584535
range [84256,87873] : 180058066
range [32301,84105] : 599312306
range [75997,77670] : 84742801
range [24572,32279] : 385323940
range [83581,88597] : 250996013
range [67423,74316] : 343810968
range [3885,22005] : 906855140
range [37758,84126] : 326456670
range [37517,87104] : 487839489
range [35311,80640] : 274167869
range [58711,88425] : 490667030
range [70820,82652] : 593128449
range [26022,76336] : 520822106
range [44676,68547] : 194373658
range [43237,81335] : 910316488
range [26162,81888] : 795404771
range [351,81079] : 44455637
range [71335,80238] : 446248996
range [37902,59416] : 77697801
range [10066,12857] : 139704288
range [72128,73787] : 80650970
range [39517,62931] : 172903245
range [59279,71814] : 631871435
range [22625,70436] : 398139284
range [16249,69526] : 668425873
range [52518,81791] : 469169075
range [51175,62065] : 545069342
range [11662,79339] : 392437574
range [11115,84592] : 683462314
range [26388,88583] : 116761023
range [64750,70586] : 294813377
range [79398,87957] : 428410435
range [13660,62066] : 425146478
range [51541,60084] : 427228984
range [20853,79956] : 961061593
range [83167,83440] : 13153785
range [81321,87199] : 293379991
range [29777,54331] : 228106513
range [14962,70045] : 761282244
range [16978,33593] : 830050937
range [39855,43953] : 206535985
range [34187,70072] : 798938564
range [25736,40814] : 756809295
range [83389,83592] : 9712500
range [33126,82334] : 469661543
range [72316,87789] : 773612609
range [88875,89036] : 8056376
range [397,74186] : 694942569
range [74161,88538] : 721102838
range [56316,66951] : 534640864
range [62090,83300] : 65591869
range [25732,64590] : 947218449
range [58316,86602] : 421644968
range [21340,22242] : 43873283
range [70477,86076] : 782553250
range [46108,61426] : 765910843
range [53508,74506] : 52328982
range [74317,79583] : 264901750
range [83696,87060] : 168698562
range [49604,85053] : 777203406
range [426,40547] : 7325776
range [10706,79859] : 466642051
range [55165,73151] : 901520945
range [30200,74965] : 242551858
range [24533,88390] : 200638448
range [53693,61988] : 415076277
range [50933,75744] : 242490604
range [60518,85259] : 240844971
range [56987,67769] : 542858911
range [42306,61205] : 945336452
range [60622,79360] : 939372008
range [76938,85059] : 407169216
range [72978,81667] : 436363063
range [85548,88291] : 135428720
range [87126,87279] : 7669596
range [57618,86829] : 466537042
range [57235,69471] : 614219680
range [66373,72185] : 293564745
range [64246,78484] : 715436266
range [28041,44707] : 834921319
range [44114,49212] : 253544229
range [49075,63743] : 734460327
range [46527,67143] : 33791547
range [18807,68156] : 471369692
range [8778,83081] : 726205404
range [41453,84222] : 144004945
range [64318,76634] : 618994237
range [35976,76032] : 6900542
range [57201,88093] : 549317292
range [52192,78639] : 325337063
range [23178,52019] : 446471770
range [87786,89239] : 73303800
range [55745,88493] : 641709857
range [36222,72790] : 834092458
range [39055,74567] : 781149835
range [83951,86116] : 110002618
range [20617,59594] : 950038832
range [58045,79684] : 88542959
range [80978,83340] : 119057930
range [35875,55514] : 984165532
range [20898,22498] : 78608296
range [40184,43777] : 180972165
range [22512,75118] : 637456307
range [52655,86245] : 686199700
range [87154,87404] : 12283221
range [21574,37303] : 785118665
range [15602,30618] : 753326215
range [38726,44014] : 267863379
range [72685,80523] : 393684123
range [64826,66585] : 89429582
range [31954,80368] : 428816653
range [11975,62892] : 552909901
range [16178,20149] : 199718909
range [33020,86987] : 707628883
range [86590,88176] : 77315614
range [38862,80425] : 85755777
range [616,43098] : 127910044
range [14146,67634] : 682772707
range [76856,84238] : 370965099
range [12509,22777] : 515363266
range [62503,83280] : 43903698
range [7365,44635] : 869707875
range [73231,75228] : 99813183
range [51094,70853] : 992411018
range [38354,53806] : 776449184
range [12929,54844] : 102271044
range [59564,77340] : 893104308
range [8297,47331] : 956519565
range [62368,68541] : 309478076
range [58279,85433] : 364254995
range [25527,34180] : 434591924
range [9265,49350] : 8706372
range [15440,50310] : 746566448
range [20552,72204] : 589681558
range [50936,76269] : 269064674
range [12934,62475] : 483820597
range [56858,83371] : 331309810
range [5136,88928] : 199528221
range [291,57024] : 839938265
range [61299,86210] : 252384530
range [69295,76335] : 352180431
range [65858,78317] : 624810932
range [23432,47263] : 195331018
range [49507,53222] : 186957208
range [40682,83677] : 155928412
range [83380,87232] : 192581500
range [44473,78105] : 684307287
range [72234,75604] : 165648115
range [68292,77188] : 445532014
range [64831,69649] : 242214079
range [72845,80310] : 374086512
range [66178,81808] : 785707467
range [40388,74919] : 731795749
range [5178,14439] : 462313943
range [16088,69211] : 662466641
range [15010,36159] : 60252223
range [83591,87107] : 176557958
range [9275,55068] : 295820674
range [79834,88695] : 444092185
range [6541,37424] : 546292475
range [17263,86732] : 481484229
range [19530,33082] : 675620511
range [84852,86946] : 105633354
range [1893,11070] : 457184922
range [19257,76113] : 846634183
range [51059,88206] : 860954880
range [21459,45846] : 223277365
range [44683,81821] : 863001324
range [23946,85733] : 99332442
range [85983,86135] : 8111917
range [66728,77339] : 531557546
range [8975,11115] : 107524059
range [57796,63887] : 305979777
range [4970,69446] : 230413366
range [17953,55703] : 889724417
range [48664,56124] : 374615196
range [4991,38487] : 676459245
range [28541,50970] : 122785723
range [53156,61108] : 397684838
range [40509,75421] : 749697471
range [63170,88792] : 285710574
range [53213,77488] : 216573919
range [5085,58219] : 658748229
range [33190,42239] : 455879719
range [4684,28642] : 200866934
range [42024,81942] : 2741386
range [34977,59149] : 209725537
range [29151,61493] : 617918848
range [32279,38958] : 335981282
range [240,43534] : 167571858
range [31519,56492] : 249606227
range [23730,31835] : 406567308
range [31799,84714] : 652984324
range [51360,73397] : 105141384
range [70504,71306] : 40250415
range [88442,88723] : 15048008
range [39417,88266] : 447551806
range [25356,60929] : 783386193
range [1850,75530] : 688976794
range [12652,57871] : 264877185
range [75658,78456] : 141666839
range [26657,65292] : 937173969
range [37014,75474] : 928868940
range [81573,83139] : 77999396
range [71999,85215] : 661258202
range [50502,63928] : 671792858
range [7338,21958] : 733219467
range [63834,66509] : 135237188
range [8613,8875] : 12882086
range [42483,43924] : 72969735
range [67865,74194] : 315932096
range [60526,85038] : 228680520
range [42828,64059] : 62091917
range [17960,29212] : 564424512
range [53685,54411] : 35521229
range [49781,82353] : 635107658
range [26782,86387] : 989537173
range [82628,84694] : 102051405
range [51083,81414] : 522246233
range [10458,59315] : 445952954
range [36631,58424] : 90522647
range [4493,29520] : 254328203
range [66306,76559] : 513809261
range [84285,87222] : 147351360
range [85547,86704] : 58204998
range [43944,61230] : 863623386
range [25591,88582] : 157927210
range [3676,78146] : 730509967
range [43459,73935] : 526680390
range [10244,67119] : 851489765
range [20295,46295] : 302173732
range [31429,42267] : 543513528
range [24038,78504] : 730126617
range [84489,85766] : 64522420
range [76015,85157] : 458980789
range [4996,42913] : 899988560
range [66896,87866] : 49723720
range [6212,17476] : 567090628
range [10484,43167] : 638455019
range [27327,84349] : 858267178
range [36850,59208] : 119866154
range [44445,74578] : 509616585
range [60357,63486] : 156119140
range [50028,70755] : 40397738
range [31482,86870] : 776476285
range [55907,86835] : 552160259
range [28736,32557] : 187929175
range [77661,78294] : 31607677
range [65504,85633] : 10168637
range [68619,86309] : 889946083
range [85733,89022] : 163476036
range [88395,88703] : 16646319
range [85145,88208] : 152459184
range [47488,69473] : 101472037
range [35561,68734] : 662339369
range [47482,84659] : 863790292
range [76762,85450] : 435837912
range [42495,82498] : 6288414
range [77051,87516] : 524321075
range [54859,59899] : 250620137
range [56639,87159] : 531544005
range [42176,84325] : 112639193
range [69269,72557] : 166411230
range [6750,16089] : 468716336
range [36132,43459] : 367823999
range [66940,73187] : 312698041
range [14700,51703] : 854002356
range [87455,87776] : 15421376
range [13030,62912] : 500070204
range [9072,35259] : 312004211
range [8389,18051] : 485840001
range [76446,79053] : 130635590
range [65573,74380] : 441046344
range [2546,58214] : 784181074
range [40236,63436] : 161034439
range [62358,81543] : 964898397
range [78007,85472] : 374436285
range [59038,87120] : 410837044
range [41583,54853] : 665162863
range [66132,70810] : 236389722
range [1894,69013] : 360238285
range [54925,72486] : 881026463
range [41150,56487] : 766078040
range [65360,78620] : 664050289
range [79994,88152] : 407039517
range [49475,58632] : 457271107
range [63342,74260] : 548528973
range [84693,87758] : 152910745
range [73448,73914] : 22703550
range [2937,19453] : 827130462
range [67811,72904] : 255624602
range [46691,74019] : 369771726
range [17022,47436] : 522378761
range [55234,88219] : 651955026
range [59357,74513] : 762952796
range [58146,76495] : 922592295
range [54515,63722] : 460908119
range [23714,46983] : 166783928
range [8195,27247] : 955040293
range [56891,57980] : 52856911
range [69549,83024] : 677386690
range [65153,72273] : 359099617
range [31937,65318] : 674361614
range [10872,71265] : 28047703
range [49590,52559] : 149899333
range [63866,70509] : 335295183
range [55609,74762] : 961275898
range [8793,23570] : 738686314
range [73775,87385] : 682919090
range [37636,64717] : 358909049
range [43914,75045] : 559523184
range [19142,35879] : 836440590
range [83487,86986] : 175320719
range [2631,84037] : 78421309
range [9857,60804] : 552551320
range [67846,82161] : 719076489
range [25001,79263] : 721598119
range [36953,69079] : 612186837
range [3179,51820] : 434132671
range [6901,65595] : 941473279
range [10254,32277] : 101542397
range [9953,22595] : 633037978
range [59700,75437] : 790007027
range [21736,64937] : 164113149
range [30941,81811] : 551077805
range [3556,19005] : 774032457
range [5934,68958] : 157608195
range [39833,71819] : 603480019
range [38428,81695] : 172416815
range [10511,18985] : 426705337
range [58245,75401] : 862507314
range [59374,79819] : 27954211
range [42976,86133] : 164719105
range [30554,65273] : 739423378
range [18007,19187] : 59546878
range [66247,86101] : 997890095
range [34340,60085] : 289249322
range [21636,79454] : 897501004
range [37935,74912] : 855500597
range [12413,53014] : 36115197
range [70527,87789] : 863447650
range [60159,63012] : 143785385
range [36094,77305] : 65670475
range [51034,87000] : 803881787
range [16855,78543] : 90447430
range [22192,71678] : 481503752
range [12292,81865] : 490695972
range [38630,59130] : 26195746
range [52193,61294] : 455816954
range [57926,62681] : 240449859
range [23646,38621] : 750793760
range [48226,79244] : 555903535
range [58325,81524] : 168095373
range [7750,63118] : 774069899
range [85438,89374] : 196622162
range [8754,43875] : 761645858
range [76376,81880] : 278887612
range [65492,78970] : 674460936
range [27134,46341] : 963807112
range [60169,77958] : 892915113
range [22591,50600] : 403932150
range [412,7484] : 350763090
range [45079,66291] : 61968771
range [80615,88172] : 376084033
range [26350,85823] : 983291377
range [66988,79318] : 617011361
range [20993,46010] : 254517219
range [65246,66788] : 77889878
range [40425,54998] : 731649809
range [9596,24964] : 768473491
range [53728,79538] : 293863258
range [42278,47248] : 247761538
range [62458,75197] : 639852813
range [2416,28058] : 282640763
range [66196,77921] : 588057724
range [49732,82806] : 660078653
range [28126,61560] : 673707255
range [30478,51979] : 75591406
range [30371,67089] : 840571583
range [58581,87680] : 459979135
range [40395,84908] : 231674409
range [54740,80367] : 285480713
range [45690,54555] : 442608124
range [26458,27021] : 28953691
range [88358,88499] : 7364202
range [31565,39594] : 402042745
range [71043,81991] : 550721970
range [35946,66896] : 552129217
range [37884,41919] : 205021087
range [34141,64971] : 544341544
range [19768,34915] : 757204072
